freq	dBm(fashef)
2.53727272727272668E10	-9.66914025399915822E1
2.53745454545454630E10	-9.83081761120368114E1
2.53763636363636280E10	-9.21881068346298527E1
2.53781818181818242E10	-9.72819911517228597E1
2.53800000000000026E10	-9.26314368891792306E1
2.53818181818181809E10	-8.79860082292467638E1
2.53836363636363682E10	-9.37496725359639171E1
2.53854545454545422E10	-9.27110678896889162E1
2.53872727272727294E10	-8.81217366813888425E1
2.53890909090909123E10	-9.99787969984073221E1
2.53909090909090907E10	-9.77848768993338702E1
2.53927272727272690E10	-8.87972455762001367E1
2.53945454545454563E10	-1.01038055158072138E2
2.53963636363636303E10	-8.87646018411811788E1
2.53981818181818175E10	-8.71626995044732666E1
2.54000000000000004E10	-9.34336826265619891E1
2.54018181818181787E10	-1.00620571837972528E2
2.54036363636363705E10	-9.24566736319307303E1
2.54054545454545400E10	-8.82827006717483087E1
2.54072727272727317E10	-9.37788626216628174E1
2.54090909090909101E10	-9.29081523105065799E1
2.54109090909090884E10	-9.47987040103172518E1
2.54127272727272713E10	-9.99775788897103013E1
2.54145454545454585E10	-9.24358104034031669E1
2.54163636363636325E10	-8.68078960161103019E1
2.54181818181818198E10	-9.67343386948470574E1
2.54199999999999982E10	-9.39889928197546709E1
2.54218181818181765E10	-8.33252099375745914E1
2.54236363636363683E10	-9.32137209537977540E1
2.54254545454545378E10	-9.13858900078517422E1
2.54272727272727295E10	-9.23284119482665666E1
2.54290909090909079E10	-9.58425995799128749E1
2.54309090909090907E10	-9.44686324795934240E1
2.54327272727272691E10	-9.15060406255495629E1
2.54345454545454608E10	-9.89146452479120875E1
2.54363636363636303E10	-9.60980379650808025E1
2.54381818181818220E10	-8.93031980246737689E1
2.54400000000000004E10	-9.20226603159755108E1
2.54418181818181832E10	-8.76596042745089576E1
2.54436363636363705E10	-9.33458762910651529E1
2.54454545454545400E10	-9.10874807014767995E1
2.54472727272727273E10	-9.57937495067317180E1
2.54490909090909101E10	-8.26762447340042250E1
2.54509090909090885E10	-8.53764539201885064E1
2.54527272727272713E10	-8.61669339575535886E1
2.54545454545454586E10	-9.05093421616200722E1
2.54563636363636281E10	-8.70315675146631840E1
2.54581818181818198E10	-1.08852743182228107E2
2.54600000000000026E10	-9.59485491432531212E1
2.54618181818181810E10	-9.68971052232850205E1
2.54636363636363683E10	-9.32178740822461194E1
2.54654545454545422E10	-8.98398269615327472E1
2.54672727272727295E10	-9.77151629390400522E1
2.54690909090909079E10	-8.57135569297734712E1
2.54709090909090907E10	-9.00021675208040328E1
2.54727272727272691E10	-8.65752499487945926E1
2.54745454545454608E10	-9.56841724079301770E1
2.54763636363636303E10	-9.33498230925175854E1
2.54781818181818220E10	-9.63127888274060773E1
2.54800000000000004E10	-8.98708364438093099E1
2.54818181818181788E10	-8.49743658714087147E1
2.54836363636363705E10	-9.77291592827170597E1
2.54854545454545400E10	-8.76902551300259425E1
