freq	delay(2,1)
3.02689999999999992E10	2.03600177703994323E-12
3.02700000000000014E10	2.03660370860044049E-12
3.02709999999999990E10	2.03720591102369131E-12
3.02719999999999967E10	2.03780838412928622E-12
3.02730000000000032E10	2.03841112787442036E-12
3.02740000000000009E10	2.03901414346889887E-12
3.02749999999999986E10	2.03961743023924491E-12
3.02760000000000007E10	2.04022098755220060E-12
3.02769999999999984E10	2.04082481750514599E-12
3.02780000000000005E10	2.04142891939881732E-12
3.02790000000000026E10	2.04203329313055182E-12
3.02800000000000002E10	2.04263793883841371E-12
3.02809999999999979E10	2.04324285670501249E-12
3.02820000000000000E10	2.04384804742249448E-12
3.02830000000000066E10	2.04445351076606396E-12
3.02840000000000042E10	2.04505924656926297E-12
3.02850000000000019E10	2.04566525607516381E-12
3.02859999999999996E10	2.04627153802894934E-12
3.02869999999999973E10	2.04687809402587417E-12
3.02879999999999994E10	2.04748492266128235E-12
3.02889999999999970E10	2.04809202548085434E-12
3.02899999999999991E10	2.04869940228845770E-12
3.02909999999999968E10	2.04930705323254170E-12
3.02919999999999945E10	2.04991497760848862E-12
3.02930000000000010E10	2.05052317686490282E-12
3.02939999999999987E10	2.05113165000101860E-12
3.02949999999999964E10	2.05174039798278507E-12
3.02959999999999985E10	2.05234942107241070E-12
3.02969999999999962E10	2.05295871880365466E-12
3.02980000000000027E10	2.05356829196249757E-12
3.02990000000000004E10	2.05417814052270131E-12
3.03000000000000025E10	2.05478826396799352E-12
3.03010000000000002E10	2.05539866354356748E-12
3.03019999999999978E10	2.05600933821089260E-12
3.03030000000000044E10	2.05662028944002895E-12
3.03040000000000020E10	2.05723151694670925E-12
3.03049999999999997E10	2.05784302043548495E-12
3.03060000000000018E10	2.05845480029073924E-12
3.03069999999999995E10	2.05906685709472681E-12
3.03080000000000016E10	2.05967919051077430E-12
3.03090000000000037E10	2.06029180116654675E-12
3.03100000000000014E10	2.06090468850705921E-12
3.03109999999999991E10	2.06151785345048788E-12
3.03120000000000012E10	2.06213129636735193E-12
3.03129999999999988E10	2.06274501607364424E-12
3.03140000000000009E10	2.06335901357420859E-12
3.03149999999999986E10	2.06397328931238011E-12
3.03159999999999963E10	2.06458784315915045E-12
3.03169999999999984E10	2.06520267556496417E-12
3.03180000000000005E10	2.06581778624343571E-12
3.03189999999999982E10	2.06643317522865733E-12
3.03200000000000003E10	2.06704884353937368E-12
3.03209999999999980E10	2.06766479037983641E-12
3.03219999999999956E10	2.06828101677681397E-12
3.03230000000000022E10	2.06889752248970371E-12
3.03239999999999998E10	2.06951430700715377E-12
3.03249999999999975E10	2.07013137203706021E-12
3.03259999999999996E10	2.07074871630687207E-12
3.03269999999999973E10	2.07136634070604320E-12
3.03280000000000038E10	2.07198424557885064E-12
3.03290000000000015E10	2.07260243067843186E-12
3.03300000000000036E10	2.07322089631096729E-12
3.03310000000000013E10	2.07383964218264838E-12
3.03319999999999990E10	2.07445866922398103E-12
3.03330000000000055E10	2.07507797724966059E-12
3.03340000000000032E10	2.07569756717341747E-12
3.03350000000000009E10	2.07631743736691288E-12
3.03360000000000030E10	2.07693758988149746E-12
3.03370000000000006E10	2.07755802319934180E-12
3.03380000000000027E10	2.07817873886528126E-12
3.03390000000000004E10	2.07879973681276686E-12
3.03399999999999981E10	2.07942101618928632E-12
3.03409999999999958E10	2.08004257822371708E-12
3.03419999999999934E10	2.08066442343218050E-12
3.03430000000000000E10	2.08128655094272652E-12
3.03440000000000021E10	2.08190896124867919E-12
